Block 280: res=c1, exp=c1
Block 281: res=c0, exp=c0
Block 282: res=bf, exp=bf
Block 283: res=b7, exp=b7
Block 284: res=ab, exp=ab
Block 285: res=a5, exp=a5
Block 286: res=91, exp=91
Block 287: res=80, exp=80
Block 288: res=70, exp=70
Block 289: res=6a, exp=6a
Block 290: res=6b, exp=6b
Block 291: res=71, exp=71
Block 292: res=74, exp=74
Block 293: res=75, exp=75
Block 294: res=76, exp=76
Block 295: res=7a, exp=7a
Block 296: res=7b, exp=7b
Block 297: res=78, exp=78
Block 298: res=78, exp=78
Block 299: res=7a, exp=7a
Block 300: res=79, exp=79
Block 301: res=79, exp=79
Block 302: res=7a, exp=7a
Block 303: res=7a, exp=7a
Block 304: res=7b, exp=7b
Block 305: res=7b, exp=7b
Block 306: res=77, exp=77
Block 307: res=79, exp=79
Block 308: res=7e, exp=7e
Block 309: res=80, exp=80
Block 310: res=83, exp=83
Block 311: res=85, exp=85
Block 312: res=85, exp=85
Block 313: res=8a, exp=8a
Block 314: res=8a, exp=8a
Block 315: res=8a, exp=8a
Block 316: res=8f, exp=8f
Block 317: res=8f, exp=8f
Block 318: res=8e, exp=8e
Block 319: res=94, exp=94
Block 320: res=94, exp=94
Block 321: res=93, exp=93
Block 322: res=92, exp=92
Block 323: res=93, exp=93
Block 324: res=97, exp=97
Block 325: res=97, exp=97
Block 326: res=95, exp=95
Block 327: res=93, exp=93
Block 328: res=92, exp=92
Block 329: res=91, exp=91
Block 330: res=93, exp=93
Block 331: res=92, exp=92
Block 332: res=92, exp=92
Block 333: res=93, exp=93
Block 334: res=97, exp=97
Block 335: res=96, exp=96
Block 336: res=94, exp=94
Block 337: res=95, exp=95
Block 338: res=96, exp=96
Block 339: res=97, exp=97
Block 340: res=96, exp=96
Block 341: res=97, exp=97
Block 342: res=96, exp=96
Block 343: res=97, exp=97
Block 344: res=97, exp=97
Block 345: res=96, exp=96
Block 346: res=95, exp=95
Block 347: res=95, exp=95
Block 348: res=97, exp=97
Block 349: res=98, exp=98
Block 350: res=95, exp=95
Block 351: res=95, exp=95
Block 352: res=97, exp=97
Block 353: res=97, exp=97
Block 354: res=99, exp=99
Block 355: res=99, exp=99
Block 356: res=99, exp=99
Block 357: res=98, exp=98
Block 358: res=99, exp=99
Block 359: res=97, exp=97
Block 360: res=97, exp=97
Block 361: res=97, exp=97
Block 362: res=97, exp=97
Block 363: res=93, exp=93
Block 364: res=91, exp=91
Block 365: res=93, exp=93
Block 366: res=94, exp=94
Block 367: res=93, exp=93
Block 368: res=93, exp=93
Block 369: res=95, exp=95
Block 370: res=96, exp=96
Block 371: res=95, exp=95
Block 372: res=95, exp=95
Block 373: res=94, exp=94
Block 374: res=93, exp=93
Block 375: res=95, exp=95
Block 376: res=97, exp=97
Block 377: res=96, exp=96
Block 378: res=96, exp=96
Block 379: res=98, exp=98
Block 380: res=96, exp=96
Block 381: res=94, exp=94
Block 382: res=93, exp=93
Block 383: res=99, exp=99
Block 384: res=9d, exp=9d
Block 385: res=99, exp=99
Block 386: res=93, exp=93
Block 387: res=92, exp=92
Block 388: res=95, exp=95
Block 389: res=95, exp=95
Block 390: res=95, exp=95
Block 391: res=93, exp=93
Block 392: res=91, exp=91
Block 393: res=92, exp=92
Block 394: res=92, exp=92
Block 395: res=95, exp=95
Block 396: res=92, exp=92
Block 397: res=90, exp=90
Block 398: res=92, exp=92
Block 399: res=92, exp=92
Block 400: res=91, exp=91
Block 401: res=92, exp=92
Block 402: res=92, exp=92
Block 403: res=90, exp=90
Block 404: res=90, exp=90
Block 405: res=90, exp=90
Block 406: res=91, exp=91
Block 407: res=91, exp=91
Block 408: res=8c, exp=8c
Block 409: res=8a, exp=8a
Block 410: res=88, exp=88
Block 411: res=87, exp=87
Block 412: res=83, exp=83
Block 413: res=7f, exp=7f
Block 414: res=7c, exp=7c
Block 415: res=73, exp=73
Block 416: res=7c, exp=7c
Block 417: res=85, exp=85
Block 418: res=91, exp=91
Block 419: res=9b, exp=9b
Block 420: res=a1, exp=a1
Block 421: res=a8, exp=a8
Block 422: res=ac, exp=ac
Block 423: res=b0, exp=b0
Block 424: res=b4, exp=b4
Block 425: res=b5, exp=b5
Block 426: res=b4, exp=b4
Block 427: res=b1, exp=b1
Block 428: res=a8, exp=a8
Block 429: res=ab, exp=ab
Block 430: res=ab, exp=ab
Block 431: res=ac, exp=ac
Block 432: res=ae, exp=ae
Block 433: res=ae, exp=ae
Block 434: res=b0, exp=b0
Block 435: res=af, exp=af
Block 436: res=b1, exp=b1
Block 437: res=b1, exp=b1
Block 438: res=ae, exp=ae
Block 439: res=ad, exp=ad
Block 440: res=ad, exp=ad
Block 441: res=ab, exp=ab
Block 442: res=ab, exp=ab
Block 443: res=ab, exp=ab
Block 444: res=aa, exp=aa
Block 445: res=ad, exp=ad
Block 446: res=af, exp=af
Block 447: res=ac, exp=ac
Block 448: res=ae, exp=ae
Block 449: res=b0, exp=b0
Block 450: res=b0, exp=b0
Block 451: res=ae, exp=ae
Block 452: res=b2, exp=b2
Block 453: res=b3, exp=b3
Block 454: res=b1, exp=b1
Block 455: res=ae, exp=ae
Block 456: res=af, exp=af
Block 457: res=c5, exp=c5
Block 458: res=df, exp=df
Block 459: res=ea, exp=ea
Block 460: res=ed, exp=ed
Block 461: res=f2, exp=f2
Block 462: res=f4, exp=f4
Block 463: res=f5, exp=f5
Block 464: res=f5, exp=f5
Block 465: res=ec, exp=ec
Block 466: res=d5, exp=d5
Block 467: res=a7, exp=a7
Block 468: res=7d, exp=7d
Block 469: res=74, exp=74
Block 470: res=78, exp=78
Block 471: res=7c, exp=7c
Block 472: res=83, exp=83
Block 473: res=84, exp=84
Block 474: res=86, exp=86
Block 475: res=8b, exp=8b
Block 476: res=8b, exp=8b
Block 477: res=85, exp=85
Block 478: res=89, exp=89
Block 479: res=88, exp=88
Block 480: res=8b, exp=8b
Block 481: res=8c, exp=8c
Block 482: res=8a, exp=8a
Block 483: res=88, exp=88
Block 484: res=8a, exp=8a
Block 485: res=89, exp=89
Block 486: res=88, exp=88
Block 487: res=89, exp=89
Block 488: res=8c, exp=8c
Block 489: res=8b, exp=8b
Block 490: res=8c, exp=8c
Block 491: res=8d, exp=8d
Block 492: res=8e, exp=8e
Block 493: res=8b, exp=8b
Block 494: res=8b, exp=8b
Block 495: res=88, exp=88
Block 496: res=8c, exp=8c
Block 497: res=8d, exp=8d
Block 498: res=8f, exp=8f
Block 499: res=8e, exp=8e
Block 500: res=8e, exp=8e
Block 501: res=8e, exp=8e
Block 502: res=8e, exp=8e
Block 503: res=8a, exp=8a
Block 504: res=85, exp=85
Block 505: res=85, exp=85
Block 506: res=84, exp=84
Block 507: res=8f, exp=8f
Block 508: res=af, exp=af
Block 509: res=bf, exp=bf
Block 510: res=bf, exp=bf
Block 511: res=aa, exp=aa
Block 512: res=b6, exp=b6
Block 513: res=b5, exp=b5
Block 514: res=b5, exp=b5
Block 515: res=b7, exp=b7
Block 516: res=b6, exp=b6
Block 517: res=b4, exp=b4
Block 518: res=b2, exp=b2
Block 519: res=b1, exp=b1
Block 520: res=b0, exp=b0
Block 521: res=b1, exp=b1
Block 522: res=af, exp=af
Block 523: res=ad, exp=ad
Block 524: res=ae, exp=ae
Block 525: res=ad, exp=ad
Block 526: res=ad, exp=ad
Block 527: res=af, exp=af
Block 528: res=b0, exp=b0
Block 529: res=b0, exp=b0
Block 530: res=b5, exp=b5
Block 531: res=b9, exp=b9
Block 532: res=bb, exp=bb
Block 533: res=bf, exp=bf
Block 534: res=c2, exp=c2
Block 535: res=c2, exp=c2
Block 536: res=c1, exp=c1
Block 537: res=c0, exp=c0
Block 538: res=be, exp=be
Block 539: res=b6, exp=b6
Block 540: res=aa, exp=aa
Block 541: res=a2, exp=a2
Block 542: res=90, exp=90
Block 543: res=80, exp=80
Block 544: res=71, exp=71
Block 545: res=6a, exp=6a
Block 546: res=6a, exp=6a
Block 547: res=70, exp=70
Block 548: res=73, exp=73
Block 549: res=74, exp=74
Block 550: res=77, exp=77
Block 551: res=79, exp=79
Block 552: res=79, exp=79
Block 553: res=77, exp=77
Block 554: res=77, exp=77
Block 555: res=79, exp=79
Block 556: res=78, exp=78
Block 557: res=78, exp=78
Block 558: res=79, exp=79
Block 559: res=79, exp=79
Block 560: res=7b, exp=7b
Block 561: res=7a, exp=7a
Block 562: res=77, exp=77
Block 563: res=79, exp=79
Block 564: res=7e, exp=7e
Block 565: res=81, exp=81
Block 566: res=84, exp=84
Block 567: res=85, exp=85
Block 568: res=86, exp=86
Block 569: res=8a, exp=8a
Block 570: res=8b, exp=8b
Block 571: res=8b, exp=8b
Block 572: res=8d, exp=8d
Block 573: res=8e, exp=8e
Block 574: res=8e, exp=8e
Block 575: res=92, exp=92
Block 576: res=94, exp=94
Block 577: res=93, exp=93
Block 578: res=93, exp=93
Block 579: res=92, exp=92
Block 580: res=96, exp=96
Block 581: res=96, exp=96
Block 582: res=95, exp=95
Block 583: res=93, exp=93
Block 584: res=92, exp=92
Block 585: res=92, exp=92
Block 586: res=93, exp=93
Block 587: res=93, exp=93
Block 588: res=91, exp=91
Block 589: res=93, exp=93
Block 590: res=97, exp=97
Block 591: res=96, exp=96
Block 592: res=95, exp=95
Block 593: res=97, exp=97
Block 594: res=98, exp=98
Block 595: res=98, exp=98
Block 596: res=97, exp=97
Block 597: res=97, exp=97
Block 598: res=97, exp=97
Block 599: res=96, exp=96
Block 600: res=97, exp=97
Block 601: res=97, exp=97
Block 602: res=94, exp=94
Block 603: res=95, exp=95
Block 604: res=96, exp=96
Block 605: res=96, exp=96
Block 606: res=95, exp=95
Block 607: res=95, exp=95
Block 608: res=97, exp=97
Block 609: res=97, exp=97
Block 610: res=98, exp=98
Block 611: res=97, exp=97
Block 612: res=98, exp=98
Block 613: res=98, exp=98
Block 614: res=98, exp=98
Block 615: res=97, exp=97
Block 616: res=97, exp=97
Block 617: res=97, exp=97
Block 618: res=96, exp=96
Block 619: res=92, exp=92
Block 620: res=91, exp=91
Block 621: res=93, exp=93
Block 622: res=94, exp=94
Block 623: res=92, exp=92
Block 624: res=92, exp=92
Block 625: res=95, exp=95
Block 626: res=96, exp=96
Block 627: res=94, exp=94
Block 628: res=94, exp=94
Block 629: res=93, exp=93
Block 630: res=92, exp=92
Block 631: res=95, exp=95
Block 632: res=96, exp=96
Block 633: res=96, exp=96
Block 634: res=96, exp=96
Block 635: res=97, exp=97
Block 636: res=95, exp=95
Block 637: res=93, exp=93
Block 638: res=94, exp=94
Block 639: res=98, exp=98
